# Comment out songs you don't want downloaded
# Download with downloadSongList.py

# Don't change the song ID.
# Changing any other metadata isn't going to change the ID3 info of the tag.
SongID: 2575365 ;; Name: Punk Rock Girl ;; ArtistName: The Dead Milkmen ;; AlbumName: Death Rides a Pale Cow: The Ultimate Collection ;; AlbumID: 117993 ;; ArtistID: 18902 ;; TrackNum: None
SongID: 712583 ;; Name: Stuart ;; ArtistName: The Dead Milkmen ;; AlbumName: Beelzebubba ;; AlbumID: 184409 ;; ArtistID: 18902 ;; TrackNum: 3
SongID: 24539127 ;; Name: Never Gonna Give You Up ;; ArtistName: Rick Astley ;; AlbumName: Whenever You Need Somebody ;; AlbumID: 100204 ;; ArtistID: 490 ;; TrackNum: 1
SongID: 1124092 ;; Name: Oh Yeah ;; ArtistName: Yello ;; AlbumName: One Second ;; AlbumID: 341937 ;; ArtistID: 19203 ;; TrackNum: 9
SongID: 24616997 ;; Name: Roundabout ;; ArtistName: Yes ;; AlbumName: Fragile ;; AlbumID: 147957 ;; ArtistID: 2517 ;; TrackNum: 0
SongID: 119344 ;; Name: The Gates Of Delirium ;; ArtistName: Yes ;; AlbumName: Relayer ;; AlbumID: 165527 ;; ArtistID: 2517 ;; TrackNum: 1
SongID: 18267982 ;; Name: Just ;; ArtistName: Radiohead ;; AlbumName: Live Au Forum ;; AlbumID: 650714 ;; ArtistID: 15 ;; TrackNum: 1
SongID: 7287837 ;; Name: How to Disappear Completely ;; ArtistName: Radiohead ;; AlbumName: Kid A ;; AlbumID: 94807 ;; ArtistID: 15 ;; TrackNum: 4
SongID: 3895977 ;; Name: Jigsaw Falling Into Place ;; ArtistName: Radiohead ;; AlbumName: In Rainbows ;; AlbumID: 736315 ;; ArtistID: 15 ;; TrackNum: 9
SongID: 24499878 ;; Name: The High Road ;; ArtistName: Broken Bells ;; AlbumName: Broken Bells ;; AlbumID: 3749506 ;; ArtistID: 1257602 ;; TrackNum: 1
SongID: 7994115 ;; Name: Midnight In A Perfect World ;; ArtistName: DJ Shadow ;; AlbumName: Endtroducing ;; AlbumID: 188225 ;; ArtistID: 402467 ;; TrackNum: 0
